************************************************************************************
Number of agents: 2
Size of each action: 2
ep decay: 0.999177986219662
trial: 0
{'buffer_size': [10000], 'batch_size': 256, 'device': device(type='cuda', index=0), 'gamma': [0.9], 'tau': [0.002], 'LR_actor': [0.0005], 'LR_critic': [0.001], 'weight_decay': 0.0, 'max_episodes': 100, 'epsilon_decay': [0.999], 'fc1_units': 256, 'fc2_units': 128, 'sigma': [0.1], 'num_repeats': [3], 'seed': 1000, 'trial': 0}
************************************************************************************
Number of agents: 2
Size of each action: 2
ep decay: 0.999177986219662
trial: 0
[10000]
{'buffer_size': [10000], 'batch_size': 256, 'device': device(type='cuda', index=0), 'gamma': [0.99], 'tau': [0.002], 'LR_actor': [0.0002], 'LR_critic': [0.001], 'weight_decay': 0.0, 'max_episodes': 100, 'epsilon_decay': [0.999], 'fc1_units': 256, 'fc2_units': 128, 'sigma': [0.3], 'num_repeats': [5], 'seed': 1000, 'trial': 0}
************************************************************************************
Number of agents: 2
Size of each action: 2
ep decay: 0.999177986219662
trial: 0
[10000]
{'buffer_size': [10000], 'batch_size': 256, 'device': device(type='cuda', index=0), 'gamma': [0.95], 'tau': [0.002], 'LR_actor': [0.001], 'LR_critic': [0.0001], 'weight_decay': 0.0, 'max_episodes': 100, 'epsilon_decay': [0.99995], 'fc1_units': 256, 'fc2_units': 128, 'sigma': [0.1], 'num_repeats': [1], 'seed': 1000, 'trial': 0}
************************************************************************************
Number of agents: 2
Size of each action: 2
ep decay: 0.999177986219662
trial: 0
10000
{'buffer_size': 10000, 'batch_size': 256, 'device': device(type='cuda', index=0), 'gamma': [0.9], 'tau': [0.001], 'LR_actor': [0.0001], 'LR_critic': [0.0005], 'weight_decay': 0.0, 'max_episodes': 100, 'epsilon_decay': [0.9999], 'fc1_units': 256, 'fc2_units': 128, 'sigma': [0.2], 'num_repeats': [3], 'seed': 1000, 'trial': 0}
************************************************************************************
Number of agents: 2
Size of each action: 2
ep decay: 0.999177986219662
trial: 0
10000
{'buffer_size': 10000, 'batch_size': 256, 'device': device(type='cuda', index=0), 'gamma': 0.9, 'tau': 0.005, 'LR_actor': 0.0005, 'LR_critic': 0.0002, 'weight_decay': 0.0, 'max_episodes': 100, 'epsilon_decay': 0.99995, 'fc1_units': 256, 'fc2_units': 128, 'sigma': 0.2, 'num_repeats': 3, 'seed': 1000, 'trial': 0}
time :2019-01-22 03:48:05.040366
main file: train_tennis.py
platform = Linux
episode:4, steps:14, total steps:57, current:[+0.000, -0.010], score:0.000 slope:0.00e+00 epsilon:1.00
episode:28, steps:15, total steps:417, current:[+0.000, -0.010], score:0.004 slope:2.74e-05 epsilon:1.00
episode:29, steps:14, total steps:431, current:[+0.000, -0.010], score:0.003 slope:0.00e+00 epsilon:1.00
episode:30, steps:14, total steps:445, current:[+0.000, -0.010], score:0.003 slope:-2.22e-05 epsilon:1.00
episode:31, steps:14, total steps:459, current:[-0.010, +0.000], score:0.003 slope:-4.03e-05 epsilon:1.00
episode:32, steps:14, total steps:473, current:[+0.000, -0.010], score:0.003 slope:-5.50e-05 epsilon:1.00
episode:33, steps:15, total steps:488, current:[+0.000, -0.010], score:0.003 slope:-6.68e-05 epsilon:1.00
episode:34, steps:14, total steps:502, current:[-0.010, +0.000], score:0.003 slope:-7.64e-05 epsilon:1.00
episode:35, steps:14, total steps:516, current:[-0.010, +0.000], score:0.003 slope:-8.40e-05 epsilon:1.00
episode:36, steps:14, total steps:530, current:[+0.000, -0.010], score:0.003 slope:-9.01e-05 epsilon:1.00
episode:37, steps:18, total steps:548, current:[+0.000, -0.010], score:0.003 slope:-9.48e-05 epsilon:1.00
episode:38, steps:14, total steps:562, current:[-0.010, +0.000], score:0.003 slope:-9.85e-05 epsilon:1.00
episode:39, steps:33, total steps:595, current:[-0.010, +0.100], score:0.005 slope:2.83e-04 epsilon:1.00
episode:40, steps:14, total steps:609, current:[+0.000, -0.010], score:0.005 slope:2.44e-04 epsilon:1.00
episode:41, steps:14, total steps:623, current:[-0.010, +0.000], score:0.005 slope:2.09e-04 epsilon:1.00
episode:42, steps:14, total steps:637, current:[-0.010, +0.000], score:0.005 slope:1.78e-04 epsilon:1.00
episode:43, steps:15, total steps:652, current:[+0.000, -0.010], score:0.005 slope:1.51e-04 epsilon:1.00
episode:44, steps:14, total steps:666, current:[+0.000, -0.010], score:0.005 slope:1.27e-04 epsilon:1.00
episode:45, steps:14, total steps:680, current:[+0.000, -0.010], score:0.004 slope:1.05e-04 epsilon:1.00
episode:46, steps:14, total steps:694, current:[-0.010, +0.000], score:0.004 slope:8.63e-05 epsilon:1.00
episode:47, steps:31, total steps:725, current:[+0.100, -0.010], score:0.006 slope:3.35e-04 epsilon:1.00
episode:48, steps:14, total steps:739, current:[+0.000, -0.010], score:0.006 slope:2.99e-04 epsilon:1.00
episode:49, steps:14, total steps:753, current:[+0.000, -0.010], score:0.006 slope:2.65e-04 epsilon:1.00
episode:50, steps:14, total steps:767, current:[-0.010, +0.000], score:0.006 slope:2.35e-04 epsilon:1.00
episode:51, steps:14, total steps:781, current:[+0.000, -0.010], score:0.006 slope:2.08e-04 epsilon:1.00
episode:52, steps:15, total steps:796, current:[+0.000, -0.010], score:0.006 slope:1.84e-04 epsilon:1.00
episode:53, steps:14, total steps:810, current:[+0.000, -0.010], score:0.006 slope:1.61e-04 epsilon:1.00
episode:54, steps:14, total steps:824, current:[+0.000, -0.010], score:0.006 slope:1.41e-04 epsilon:1.00
episode:55, steps:14, total steps:838, current:[+0.000, -0.010], score:0.005 slope:1.23e-04 epsilon:1.00
episode:56, steps:14, total steps:852, current:[+0.000, -0.010], score:0.005 slope:1.06e-04 epsilon:1.00
episode:57, steps:15, total steps:867, current:[-0.010, +0.000], score:0.005 slope:9.07e-05 epsilon:1.00
episode:58, steps:14, total steps:881, current:[+0.000, -0.010], score:0.005 slope:7.69e-05 epsilon:1.00
episode:59, steps:14, total steps:895, current:[+0.000, -0.010], score:0.005 slope:6.43e-05 epsilon:1.00
episode:60, steps:14, total steps:909, current:[+0.000, -0.010], score:0.005 slope:5.28e-05 epsilon:1.00
episode:61, steps:15, total steps:924, current:[-0.010, +0.000], score:0.005 slope:4.23e-05 epsilon:1.00
episode:62, steps:14, total steps:938, current:[+0.000, -0.010], score:0.005 slope:3.27e-05 epsilon:1.00
episode:63, steps:14, total steps:952, current:[+0.000, -0.010], score:0.005 slope:2.40e-05 epsilon:1.00
episode:64, steps:14, total steps:966, current:[-0.010, +0.000], score:0.005 slope:1.60e-05 epsilon:1.00
episode:65, steps:14, total steps:980, current:[-0.010, +0.000], score:0.005 slope:8.74e-06 epsilon:1.00
episode:66, steps:15, total steps:995, current:[+0.000, -0.010], score:0.005 slope:2.09e-06 epsilon:1.00
episode:67, steps:14, total steps:1009, current:[+0.000, -0.010], score:0.004 slope:-3.99e-06 epsilon:1.00
episode:68, steps:14, total steps:1023, current:[+0.000, -0.010], score:0.004 slope:-9.54e-06 epsilon:1.00
episode:69, steps:14, total steps:1037, current:[-0.010, +0.000], score:0.004 slope:-1.46e-05 epsilon:1.00
episode:70, steps:14, total steps:1051, current:[-0.010, +0.000], score:0.004 slope:-1.92e-05 epsilon:1.00
episode:71, steps:15, total steps:1066, current:[-0.010, +0.000], score:0.004 slope:-2.35e-05 epsilon:1.00
episode:72, steps:14, total steps:1080, current:[-0.010, +0.000], score:0.004 slope:-2.73e-05 epsilon:1.00
episode:73, steps:14, total steps:1094, current:[-0.010, +0.000], score:0.004 slope:-3.09e-05 epsilon:1.00
episode:74, steps:14, total steps:1108, current:[+0.000, -0.010], score:0.004 slope:-3.41e-05 epsilon:1.00
episode:75, steps:25, total steps:1133, current:[-0.010, +0.000], score:0.004 slope:-3.70e-05 epsilon:1.00
episode:76, steps:27, total steps:1160, current:[-0.010, +0.100], score:0.005 slope:6.29e-05 epsilon:1.00
episode:77, steps:32, total steps:1192, current:[+0.100, -0.010], score:0.006 slope:1.55e-04 epsilon:1.00
episode:78, steps:15, total steps:1207, current:[+0.000, -0.010], score:0.006 slope:1.43e-04 epsilon:1.00
episode:79, steps:14, total steps:1221, current:[-0.010, +0.000], score:0.006 slope:1.31e-04 epsilon:1.00
episode:80, steps:14, total steps:1235, current:[-0.010, +0.000], score:0.006 slope:1.21e-04 epsilon:1.00
episode:81, steps:14, total steps:1249, current:[+0.000, -0.010], score:0.006 slope:1.11e-04 epsilon:1.00
episode:82, steps:14, total steps:1263, current:[-0.010, +0.000], score:0.006 slope:1.01e-04 epsilon:1.00
episode:83, steps:18, total steps:1281, current:[+0.000, -0.010], score:0.006 slope:9.24e-05 epsilon:1.00
episode:84, steps:29, total steps:1310, current:[-0.010, +0.100], score:0.007 slope:1.68e-04 epsilon:1.00
episode:85, steps:14, total steps:1324, current:[-0.010, +0.000], score:0.007 slope:1.56e-04 epsilon:1.00
episode:86, steps:14, total steps:1338, current:[+0.000, -0.010], score:0.007 slope:1.45e-04 epsilon:1.00
episode:87, steps:14, total steps:1352, current:[+0.000, -0.010], score:0.007 slope:1.35e-04 epsilon:1.00
episode:88, steps:14, total steps:1366, current:[+0.000, -0.010], score:0.007 slope:1.25e-04 epsilon:1.00
episode:89, steps:15, total steps:1381, current:[+0.000, -0.010], score:0.007 slope:1.16e-04 epsilon:1.00
episode:90, steps:14, total steps:1395, current:[+0.000, -0.010], score:0.007 slope:1.07e-04 epsilon:1.00
episode:91, steps:45, total steps:1440, current:[-0.010, +0.100], score:0.008 slope:1.70e-04 epsilon:1.00
episode:92, steps:14, total steps:1454, current:[-0.010, +0.000], score:0.008 slope:1.60e-04 epsilon:1.00
episode:93, steps:14, total steps:1468, current:[-0.010, +0.000], score:0.008 slope:1.49e-04 epsilon:1.00
episode:94, steps:14, total steps:1482, current:[+0.000, -0.010], score:0.007 slope:1.39e-04 epsilon:1.00
episode:95, steps:14, total steps:1496, current:[-0.010, +0.000], score:0.007 slope:1.30e-04 epsilon:1.00
episode:96, steps:15, total steps:1511, current:[+0.000, -0.010], score:0.007 slope:1.21e-04 epsilon:1.00
episode:97, steps:14, total steps:1525, current:[-0.010, +0.000], score:0.007 slope:1.13e-04 epsilon:1.00
episode:98, steps:14, total steps:1539, current:[+0.000, -0.010], score:0.007 slope:1.05e-04 epsilon:1.00
episode:99, steps:14, total steps:1553, current:[+0.000, -0.010], score:0.007 slope:9.77e-05 epsilon:1.00
episode:100, steps:14, total steps:1567, current:[+0.000, -0.010], score:0.007 slope:9.06e-05 epsilon:1.00
************************************************************************************
Number of agents: 2
Size of each action: 2
ep decay: 0.999177986219662
trial: 0
10000
{'buffer_size': 10000, 'batch_size': 256, 'device': device(type='cuda', index=0), 'gamma': 0.95, 'tau': 0.01, 'LR_actor': 0.0002, 'LR_critic': 0.0005, 'weight_decay': 0.0, 'max_episodes': 10, 'epsilon_decay': 0.99995, 'fc1_units': 256, 'fc2_units': 128, 'sigma': 0.2, 'num_repeats': 1, 'seed': 1000, 'trial': 0}
time :2019-01-22 03:50:26.331949
main file: train_tennis.py
platform = Linux
episode:4, steps:14, total steps:57, current:[+0.000, -0.010], score:0.000 slope:0.00e+00 epsilon:1.00
episode:5, steps:14, total steps:71, current:[+0.000, -0.010], score:0.000 slope:0.00e+00 epsilon:1.00
episode:6, steps:15, total steps:86, current:[-0.010, +0.000], score:0.000 slope:0.00e+00 epsilon:1.00
episode:7, steps:14, total steps:100, current:[+0.000, -0.010], score:0.000 slope:0.00e+00 epsilon:1.00
episode:8, steps:14, total steps:114, current:[-0.010, +0.000], score:0.000 slope:0.00e+00 epsilon:1.00
episode:9, steps:14, total steps:128, current:[+0.000, -0.010], score:0.000 slope:0.00e+00 epsilon:1.00
episode:10, steps:14, total steps:142, current:[+0.000, -0.010], score:0.000 slope:0.00e+00 epsilon:1.00
final_score: 0.0
trial: 1
100000
{'buffer_size': 100000, 'batch_size': 256, 'device': device(type='cuda', index=0), 'gamma': 0.95, 'tau': 0.001, 'LR_actor': 0.001, 'LR_critic': 0.0001, 'weight_decay': 0.0, 'max_episodes': 10, 'epsilon_decay': 0.99995, 'fc1_units': 256, 'fc2_units': 128, 'sigma': 0.2, 'num_repeats': 1, 'seed': 1000, 'trial': 1}
time :2019-01-22 03:50:36.832793
main file: train_tennis.py
platform = Linux
episode:4, steps:14, total steps:91, current:[+0.000, -0.010], score:0.025 slope:1.00e-02 epsilon:1.00
episode:5, steps:14, total steps:105, current:[+0.000, -0.010], score:0.020 slope:3.17e-18 epsilon:1.00
episode:6, steps:14, total steps:119, current:[+0.000, -0.010], score:0.017 slope:-2.86e-03 epsilon:1.00
episode:7, steps:14, total steps:133, current:[-0.010, +0.000], score:0.014 slope:-3.57e-03 epsilon:1.00
episode:8, steps:15, total steps:148, current:[-0.010, +0.000], score:0.013 slope:-3.57e-03 epsilon:1.00
episode:9, steps:14, total steps:162, current:[-0.010, +0.000], score:0.011 slope:-3.33e-03 epsilon:1.00
episode:10, steps:14, total steps:176, current:[-0.010, +0.000], score:0.010 slope:-3.03e-03 epsilon:1.00
final_score: 0.010000000149011612
trial: 2
100000
{'buffer_size': 100000, 'batch_size': 256, 'device': device(type='cuda', index=0), 'gamma': 0.95, 'tau': 0.001, 'LR_actor': 0.001, 'LR_critic': 0.0001, 'weight_decay': 0.0, 'max_episodes': 10, 'epsilon_decay': 0.99995, 'fc1_units': 256, 'fc2_units': 128, 'sigma': 0.2, 'num_repeats': 1, 'seed': 1000, 'trial': 2}
time :2019-01-22 03:50:41.594071
main file: train_tennis.py
platform = Linux
episode:4, steps:14, total steps:57, current:[+0.000, -0.010], score:0.000 slope:0.00e+00 epsilon:1.00
episode:5, steps:14, total steps:71, current:[-0.010, +0.000], score:0.000 slope:0.00e+00 epsilon:1.00
episode:6, steps:14, total steps:85, current:[+0.000, -0.010], score:0.000 slope:0.00e+00 epsilon:1.00
episode:7, steps:21, total steps:106, current:[+0.000, -0.010], score:0.000 slope:0.00e+00 epsilon:1.00
episode:8, steps:14, total steps:120, current:[+0.000, -0.010], score:0.000 slope:0.00e+00 epsilon:1.00
episode:9, steps:14, total steps:134, current:[+0.000, -0.010], score:0.000 slope:0.00e+00 epsilon:1.00
episode:10, steps:14, total steps:148, current:[+0.000, -0.010], score:0.000 slope:0.00e+00 epsilon:1.00
final_score: 0.0
trial: 3
100000
{'buffer_size': 100000, 'batch_size': 256, 'device': device(type='cuda', index=0), 'gamma': 0.95, 'tau': 0.001, 'LR_actor': 0.001, 'LR_critic': 0.0001, 'weight_decay': 0.0, 'max_episodes': 10, 'epsilon_decay': 0.99995, 'fc1_units': 256, 'fc2_units': 128, 'sigma': 0.2, 'num_repeats': 1, 'seed': 1000, 'trial': 3}
time :2019-01-22 03:50:46.276724
main file: train_tennis.py
platform = Linux
episode:4, steps:14, total steps:57, current:[-0.010, +0.000], score:0.000 slope:0.00e+00 epsilon:1.00
episode:5, steps:14, total steps:71, current:[-0.010, +0.000], score:0.000 slope:0.00e+00 epsilon:1.00
episode:6, steps:32, total steps:103, current:[-0.010, +0.100], score:0.017 slope:1.43e-02 epsilon:1.00
episode:7, steps:14, total steps:117, current:[+0.000, -0.010], score:0.014 slope:7.14e-03 epsilon:1.00
episode:8, steps:14, total steps:131, current:[-0.010, +0.000], score:0.013 slope:3.57e-03 epsilon:1.00
episode:9, steps:15, total steps:146, current:[+0.000, -0.010], score:0.011 slope:1.67e-03 epsilon:1.00
episode:10, steps:14, total steps:160, current:[+0.000, -0.010], score:0.010 slope:6.06e-04 epsilon:1.00
final_score: 0.010000000149011612
trial: 4
100000
{'buffer_size': 100000, 'batch_size': 256, 'device': device(type='cuda', index=0), 'gamma': 0.95, 'tau': 0.001, 'LR_actor': 0.001, 'LR_critic': 0.0001, 'weight_decay': 0.0, 'max_episodes': 10, 'epsilon_decay': 0.99995, 'fc1_units': 256, 'fc2_units': 128, 'sigma': 0.2, 'num_repeats': 1, 'seed': 1000, 'trial': 4}
time :2019-01-22 03:50:50.985916
main file: train_tennis.py
platform = Linux
episode:4, steps:29, total steps:71, current:[-0.010, +0.100], score:0.025 slope:3.00e-02 epsilon:1.00
episode:5, steps:14, total steps:85, current:[+0.000, -0.010], score:0.020 slope:1.00e-02 epsilon:1.00
episode:6, steps:14, total steps:99, current:[-0.010, +0.000], score:0.017 slope:2.86e-03 epsilon:1.00
episode:7, steps:15, total steps:114, current:[-0.010, +0.000], score:0.014 slope:-7.27e-19 epsilon:1.00
episode:8, steps:14, total steps:128, current:[+0.000, -0.010], score:0.013 slope:-1.19e-03 epsilon:1.00
episode:9, steps:14, total steps:142, current:[+0.000, -0.010], score:0.011 slope:-1.67e-03 epsilon:1.00
episode:10, steps:14, total steps:156, current:[-0.010, +0.000], score:0.010 slope:-1.82e-03 epsilon:1.00
final_score: 0.010000000149011612
trial: 5
100000
{'buffer_size': 100000, 'batch_size': 256, 'device': device(type='cuda', index=0), 'gamma': 0.95, 'tau': 0.001, 'LR_actor': 0.001, 'LR_critic': 0.0001, 'weight_decay': 0.0, 'max_episodes': 10, 'epsilon_decay': 0.99995, 'fc1_units': 256, 'fc2_units': 128, 'sigma': 0.2, 'num_repeats': 1, 'seed': 1000, 'trial': 5}
time :2019-01-22 03:50:55.683742
main file: train_tennis.py
platform = Linux
episode:4, steps:14, total steps:59, current:[+0.000, -0.010], score:0.000 slope:0.00e+00 epsilon:1.00
episode:5, steps:14, total steps:73, current:[+0.000, -0.010], score:0.000 slope:0.00e+00 epsilon:1.00
episode:6, steps:15, total steps:88, current:[+0.000, -0.010], score:0.000 slope:0.00e+00 epsilon:1.00
episode:7, steps:14, total steps:102, current:[-0.010, +0.000], score:0.000 slope:0.00e+00 epsilon:1.00
episode:8, steps:14, total steps:116, current:[+0.000, -0.010], score:0.000 slope:0.00e+00 epsilon:1.00
episode:9, steps:14, total steps:130, current:[+0.000, -0.010], score:0.000 slope:0.00e+00 epsilon:1.00
episode:10, steps:14, total steps:144, current:[+0.000, -0.010], score:0.000 slope:0.00e+00 epsilon:1.00
final_score: 0.0
trial: 6
100000
{'buffer_size': 100000, 'batch_size': 256, 'device': device(type='cuda', index=0), 'gamma': 0.95, 'tau': 0.001, 'LR_actor': 0.001, 'LR_critic': 0.0001, 'weight_decay': 0.0, 'max_episodes': 10, 'epsilon_decay': 0.99995, 'fc1_units': 256, 'fc2_units': 128, 'sigma': 0.2, 'num_repeats': 1, 'seed': 1000, 'trial': 6}
time :2019-01-22 03:51:00.685800
main file: train_tennis.py
platform = Linux
episode:4, steps:14, total steps:107, current:[-0.010, +0.000], score:0.025 slope:-3.00e-02 epsilon:1.00
episode:5, steps:15, total steps:122, current:[-0.010, +0.000], score:0.020 slope:-2.00e-02 epsilon:1.00
episode:6, steps:14, total steps:136, current:[+0.000, -0.010], score:0.017 slope:-1.43e-02 epsilon:1.00
episode:7, steps:14, total steps:150, current:[+0.000, -0.010], score:0.014 slope:-1.07e-02 epsilon:1.00
episode:8, steps:14, total steps:164, current:[+0.000, -0.010], score:0.013 slope:-8.33e-03 epsilon:1.00
episode:9, steps:14, total steps:178, current:[-0.010, +0.000], score:0.011 slope:-6.67e-03 epsilon:1.00
episode:10, steps:31, total steps:209, current:[+0.100, -0.010], score:0.020 slope:8.22e-19 epsilon:1.00
final_score: 0.020000000298023225
trial: 7
100000
{'buffer_size': 100000, 'batch_size': 256, 'device': device(type='cuda', index=0), 'gamma': 0.95, 'tau': 0.001, 'LR_actor': 0.001, 'LR_critic': 0.0001, 'weight_decay': 0.0, 'max_episodes': 10, 'epsilon_decay': 0.99995, 'fc1_units': 256, 'fc2_units': 128, 'sigma': 0.2, 'num_repeats': 1, 'seed': 1000, 'trial': 7}
time :2019-01-22 03:51:05.536516
main file: train_tennis.py
platform = Linux
episode:4, steps:15, total steps:59, current:[+0.000, -0.010], score:0.000 slope:0.00e+00 epsilon:1.00
episode:5, steps:14, total steps:73, current:[-0.010, +0.000], score:0.000 slope:0.00e+00 epsilon:1.00
episode:6, steps:14, total steps:87, current:[+0.000, -0.010], score:0.000 slope:0.00e+00 epsilon:1.00
episode:7, steps:14, total steps:101, current:[-0.010, +0.000], score:0.000 slope:0.00e+00 epsilon:1.00
episode:8, steps:18, total steps:119, current:[+0.000, -0.010], score:0.000 slope:0.00e+00 epsilon:1.00
episode:9, steps:14, total steps:133, current:[-0.010, +0.000], score:0.000 slope:0.00e+00 epsilon:1.00
episode:10, steps:14, total steps:147, current:[-0.010, +0.000], score:0.000 slope:0.00e+00 epsilon:1.00
final_score: 0.0
trial: 8
100000
{'buffer_size': 100000, 'batch_size': 256, 'device': device(type='cuda', index=0), 'gamma': 0.95, 'tau': 0.001, 'LR_actor': 0.001, 'LR_critic': 0.0001, 'weight_decay': 0.0, 'max_episodes': 10, 'epsilon_decay': 0.99995, 'fc1_units': 256, 'fc2_units': 128, 'sigma': 0.2, 'num_repeats': 1, 'seed': 1000, 'trial': 8}
time :2019-01-22 03:51:10.233680
main file: train_tennis.py
platform = Linux
episode:4, steps:14, total steps:57, current:[+0.000, -0.010], score:0.000 slope:0.00e+00 epsilon:1.00
episode:5, steps:14, total steps:71, current:[-0.010, +0.000], score:0.000 slope:0.00e+00 epsilon:1.00
episode:6, steps:33, total steps:104, current:[-0.010, +0.100], score:0.017 slope:1.43e-02 epsilon:1.00
episode:7, steps:18, total steps:122, current:[+0.000, -0.010], score:0.014 slope:7.14e-03 epsilon:1.00
episode:8, steps:14, total steps:136, current:[+0.000, -0.010], score:0.013 slope:3.57e-03 epsilon:1.00
episode:9, steps:17, total steps:153, current:[+0.000, -0.010], score:0.011 slope:1.67e-03 epsilon:1.00
episode:10, steps:14, total steps:167, current:[+0.000, -0.010], score:0.010 slope:6.06e-04 epsilon:1.00
final_score: 0.010000000149011612
trial: 9
100000
{'buffer_size': 100000, 'batch_size': 256, 'device': device(type='cuda', index=0), 'gamma': 0.95, 'tau': 0.001, 'LR_actor': 0.001, 'LR_critic': 0.0001, 'weight_decay': 0.0, 'max_episodes': 10, 'epsilon_decay': 0.99995, 'fc1_units': 256, 'fc2_units': 128, 'sigma': 0.2, 'num_repeats': 1, 'seed': 1000, 'trial': 9}
time :2019-01-22 03:51:14.974014
main file: train_tennis.py
platform = Linux
episode:4, steps:14, total steps:57, current:[+0.000, -0.010], score:0.000 slope:0.00e+00 epsilon:1.00
episode:5, steps:15, total steps:72, current:[-0.010, +0.000], score:0.000 slope:0.00e+00 epsilon:1.00
episode:6, steps:14, total steps:86, current:[+0.000, -0.010], score:0.000 slope:0.00e+00 epsilon:1.00
episode:7, steps:15, total steps:101, current:[-0.010, +0.000], score:0.000 slope:0.00e+00 epsilon:1.00
episode:8, steps:14, total steps:115, current:[+0.000, -0.010], score:0.000 slope:0.00e+00 epsilon:1.00
